id,bookName,author,price,currency,customerRatings,rating,bookCover
FV1U34H792,Finding Me: A Memoir,Viola Davis,18.84,USD,314,4.8,Hardcover
AJ1U74H288,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,11.98,USD,79977,4.8,Hardcover
TJ2U44H148,"This Will Not Pass: Trump, Biden, and the Battle for America's Future",Jonathan Martin,24.99,USD,4,4.2,Hardcover
JT3U84H310,Just Tyrus: A Memoir,Tyrus,32.49,USD,898,4.7,Hardcover
BE1U24P886,Book Lovers,Emily Henry,13.6,USD,21,4.6,Paperback
TS1U74H921,The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,Shannon Bream,17.05,USD,786,4.9,Hardcover
JM1U24B706,Johnny the Walrus,Matt Walsh,14.18,USD,2620,4.9,Board book
WD9U24P337,Where the Crawdads Sing,Delia Owens,9.98,USD,221019,4.8,Paperback
OD8U34H942,"Oh, the Places You'll Go!",Dr. Seuss,8.98,USD,36141,4.9,Hardcover
IC1U84P473,It Ends with Us: A Novel (1),Colleen Hoover,11.17,USD,88865,4.7,Paperback
VC1U84P292,Verity,Colleen Hoover,11.26,USD,85090,4.6,Paperback
TT9U74P320,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,USD,71973,4.6,Paperback
MA9U55P512,"Mothers Day Gifts: Mom I Want to Hear Your Story: 100 Hand-Designed Pages with Family Tree, Questions, Qutoes and More! Mother's Day Gift Idea for Mom from Daughter and Son",Alberta Chompegne,9.99,USD,5,5,Paperback
OS1U24H838,Outdoor Kids in an Inside World: Getting Your Family Out of the House and Radically Engaged with Nature,Steven Rinella,18.29,USD,2,4.5,Hardcover
HT1U84H700,"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals: A Cookbook",Tieghan Gerard,19.48,USD,857,4.8,Hardcover
TB1U04P633,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,11.4,USD,0,4.8,Paperback
TQ9U54P696,"Tell Me Your Life Story, Mom: A Mother’s Guided Journal and Memory Keepsake Book (Tell Me Your Life Story® Series)",Questions About Me,9.95,USD,578,4.7,Paperback
2J1U74H421,"22 Seconds (Women's Murder Club, 22)",James Patterson,19.43,USD,71,4.6,Hardcover
TJ1U14P142,The 14-Day New Keto Cleanse: Lose Up to 15 Pounds in 2 Weeks with Delicious Meals and Low-Sugar Smoothies,JJ Smith,13.38,USD,162,4.8,Paperback
